,pokedex_number,generation,name,description,sound_name,image_name
0,1,1,Bulbasaur,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,bulbasaur,bulbasaur
1,2,1,Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",ivysaur,ivysaur
2,3,1,Venusaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,venusaur,venusaur
3,4,1,Charmander,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",charmander,charmander
4,5,1,Charmeleon,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",charmeleon,charmeleon
5,6,1,Charizard,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,charizard,charizard
6,7,1,Squirtle,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",squirtle,squirtle
7,8,1,Wartortle,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",wartortle,wartortle
8,9,1,Blastoise,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",blastoise,blastoise
9,10,1,Caterpie,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",caterpie,caterpie
10,11,1,Metapod,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",metapod,metapod
11,12,1,Butterfree,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",butterfree,butterfree
12,13,1,Weedle,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,weedle,weedle
13,14,1,Kakuna,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",kakuna,kakuna
14,15,1,Beedrill,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,beedrill,beedrill
15,16,1,Pidgey,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",pidgey,pidgey
16,17,1,Pidgeotto,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,pidgeotto,pidgeotto
17,18,1,Pidgeot,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",pidgeot,pidgeot
18,19,1,Rattata,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",rattata,rattata
19,20,1,Raticate,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",raticate,raticate
20,21,1,Spearow,"Inept at flying high. However, it can fly around very fast to protect its territory.",spearow,spearow
21,22,1,Fearow,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",fearow,fearow
22,23,1,Ekans,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",ekans,ekans
23,24,1,Arbok,The frightening patterns on its belly have been studied. Six variations have been confirmed.,arbok,arbok
24,25,1,Pikachu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.,pikachu,pikachu
25,26,1,Raichu,Its long tail serves as a ground to protect itself from its own high-voltage power.,raichu,raichu
26,27,1,Sandshrew,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.",sandshrew,sandshrew
27,28,1,Sandslash,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.",sandslash,sandslash
28,29,1,Nidoran♀,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators.",nidoran,nidoran
29,30,1,Nidorina,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,nidorina,nidorina
30,31,1,Nidoqueen,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",nidoqueen,nidoqueen
31,32,1,Nidoran♂,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears.",nidoran,nidoran
32,33,1,Nidorino,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.",nidorino,nidorino
33,34,1,Nidoking,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.",nidoking,nidoking
34,35,1,Clefairy,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,clefairy,clefairy
35,36,1,Clefable,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.",clefable,clefable
36,37,1,Vulpix,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.",vulpix,vulpix
37,38,1,Ninetales,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.",ninetales,ninetales
38,39,1,Jigglypuff,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep.",jigglypuff,jigglypuff
39,40,1,Wigglytuff,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them.",wigglytuff,wigglytuff
40,41,1,Zubat,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.",zubat,zubat
41,42,1,Golbat,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.",golbat,golbat
42,43,1,Oddish,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",oddish,oddish
43,44,1,Gloom,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,gloom,gloom
44,45,1,Vileplume,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",vileplume,vileplume
45,46,1,Paras,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,paras,paras
46,47,1,Parasect,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,parasect,parasect
47,48,1,Venonat,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.",venonat,venonat
48,49,1,Venomoth,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,venomoth,venomoth
49,50,1,Diglett,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops.",diglett,diglett
50,51,1,Dugtrio,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.,dugtrio,dugtrio
51,52,1,Meowth,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures.",meowth,meowth
52,53,1,Persian,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed.",persian,persian
53,54,1,Psyduck,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while.",psyduck,psyduck
54,55,1,Golduck,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display.",golduck,golduck
55,56,1,Mankey,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.,mankey,mankey
56,57,1,Primeape,It stops being angry only when nobody else is around. To view this moment is very difficult.,primeape,primeape
57,58,1,Growlithe,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,growlithe,growlithe
58,59,1,Arcanine,"The sight of it running over 6,200 miles in a single day and night has captivated many people.",arcanine,arcanine
59,60,1,Poliwag,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin.",poliwag,poliwag
60,61,1,Poliwhirl,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.,poliwhirl,poliwhirl
61,62,1,Poliwrath,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward.",poliwrath,poliwrath
62,63,1,Abra,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,abra,abra
63,64,1,Kadabra,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.",kadabra,kadabra
64,65,1,Alakazam,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",alakazam,alakazam
65,66,1,Machop,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups.",machop,machop
66,67,1,Machoke,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.",machoke,machoke
67,68,1,Machamp,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.,machamp,machamp
68,69,1,Bellsprout,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,bellsprout,bellsprout
69,70,1,Weepinbell,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids.",weepinbell,weepinbell
70,71,1,Victreebel,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.",victreebel,victreebel
71,72,1,Tentacool,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.,tentacool,tentacool
72,73,1,Tentacruel,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves.",tentacruel,tentacruel
73,74,1,Geodude,"Commonly found near mountain trails and the like. If you step on one by accident, it gets angry.",geodude,geodude
74,75,1,Graveler,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid.",graveler,graveler
75,76,1,Golem,"Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air.",golem,golem
76,77,1,Ponyta,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger.",ponyta,ponyta
